n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,acc_train,acc_test,f1_train,f1_test,n_features_
100,,log2,2,5.0,0.8511738452048333,0.8328737300435414,0.5540662174122476,0.5392960983733346,324
100,,log2,5,5.0,0.8511738452048333,0.8328737300435414,0.5540662174122476,0.5392960983733346,324
100,64.0,log2,2,5.0,0.8507202728691172,0.8318577648766328,0.5536428962558448,0.5383562976096956,324
100,64.0,log2,5,5.0,0.8507202728691172,0.8318577648766328,0.5536428962558448,0.5383562976096956,324
200,20.0,log2,2,1.0,0.8384193911244965,0.8084179970972424,0.5587857264653259,0.5365970016567777,324
300,,log2,2,5.0,0.8481621248956783,0.8293178519593614,0.5511396660515681,0.5358999900019111,324
300,,log2,5,5.0,0.8481621248956783,0.8293178519593614,0.5511396660515681,0.5358999900019111,324
300,64.0,log2,2,5.0,0.8481439820022497,0.8292452830188679,0.5511310762108207,0.5358158389036487,324
300,64.0,log2,5,5.0,0.8481439820022497,0.8292452830188679,0.5511310762108207,0.5358158389036487,324
200,,log2,2,5.0,0.8483435538299648,0.8293178519593614,0.5512646338143895,0.5357766244300002,324
200,,log2,5,5.0,0.8483435538299648,0.8293178519593614,0.5512646338143895,0.5357766244300002,324
200,64.0,log2,2,5.0,0.8477629812402482,0.8285921625544267,0.5507097233742616,0.535042014203884,324
200,64.0,log2,5,5.0,0.8477629812402482,0.8285921625544267,0.5507097233742616,0.535042014203884,324
300,20.0,log2,2,1.0,0.8407961101636489,0.8100870827285922,0.5575910190292029,0.5336606755868399,324
100,20.0,log2,2,1.0,0.8363873870604884,0.8092162554426705,0.5580236060056792,0.5330325411083888,324
100,32.0,sqrt,2,50.0,0.8298922312130339,0.8235123367198839,0.5366000583832714,0.531977429234951,324
100,32.0,sqrt,5,50.0,0.8298922312130339,0.8235123367198839,0.5366000583832714,0.531977429234951,324
100,,sqrt,2,50.0,0.8302732319750353,0.8232946298984035,0.5369087129401989,0.5317070264966595,324
100,,sqrt,5,50.0,0.8302732319750353,0.8232946298984035,0.5369087129401989,0.5317070264966595,324
100,64.0,sqrt,2,50.0,0.8302732319750353,0.8232946298984035,0.5369087129401989,0.5317070264966595,324
100,64.0,sqrt,5,50.0,0.8302732319750353,0.8232946298984035,0.5369087129401989,0.5317070264966595,324
300,,sqrt,2,50.0,0.8304728038027505,0.8232220609579101,0.537026949213779,0.5315690207895964,324
300,,sqrt,5,50.0,0.8304728038027505,0.8232220609579101,0.537026949213779,0.5315690207895964,324
300,64.0,sqrt,2,50.0,0.8304728038027505,0.8232220609579101,0.537026949213779,0.5315690207895964,324
300,64.0,sqrt,5,50.0,0.8304728038027505,0.8232220609579101,0.537026949213779,0.5315690207895964,324
300,32.0,sqrt,2,50.0,0.8305816611633223,0.8230043541364296,0.5370910324956855,0.5314053871790924,324
300,32.0,sqrt,5,50.0,0.8305816611633223,0.8230043541364296,0.5370910324956855,0.5314053871790924,324
200,,sqrt,2,50.0,0.8292028012627454,0.8220609579100145,0.5359002925262925,0.5306167957051118,324
200,,sqrt,5,50.0,0.8292028012627454,0.8220609579100145,0.5359002925262925,0.5306167957051118,324
200,64.0,sqrt,2,50.0,0.8292028012627454,0.8220609579100145,0.5359002925262925,0.5306167957051118,324
200,64.0,sqrt,5,50.0,0.8292028012627454,0.8220609579100145,0.5359002925262925,0.5306167957051118,324
200,32.0,sqrt,2,50.0,0.8292753728364599,0.8216255442670537,0.5359220390408975,0.5301445363692264,324
200,32.0,sqrt,5,50.0,0.8292753728364599,0.8216255442670537,0.5359220390408975,0.5301445363692264,324
100,20.0,log2,5,1.0,0.8276062266410247,0.8063134978229318,0.5439803092323902,0.5300237239898561,324
300,20.0,log2,5,1.0,0.8274610834935956,0.8060957910014513,0.5426639977131388,0.5297213662826327,324
200,20.0,sqrt,2,50.0,0.8266809390761639,0.8208272859216256,0.5331952193576521,0.5288400115054679,324
200,20.0,sqrt,5,50.0,0.8266809390761639,0.8208272859216256,0.5331952193576521,0.5288400115054679,324
100,20.0,sqrt,2,50.0,0.8274247977067383,0.8201741654571844,0.5339404444150345,0.5287619651143273,324
100,20.0,sqrt,5,50.0,0.8274247977067383,0.8201741654571844,0.5339404444150345,0.5287619651143273,324
300,20.0,sqrt,2,50.0,0.8267353677564498,0.8206095791001451,0.5332038740985571,0.5286943838374708,324
300,20.0,sqrt,5,50.0,0.8267353677564498,0.8206095791001451,0.5332038740985571,0.5286943838374708,324
300,32.0,log2,2,5.0,0.8383105337639247,0.8223512336719884,0.541662434963131,0.528460087790908,324
300,32.0,log2,5,5.0,0.8383105337639247,0.8223512336719884,0.541662434963131,0.528460087790908,324
200,32.0,log2,2,5.0,0.8376392467070648,0.8214078374455733,0.5408211550839723,0.5273121860572383,324
200,32.0,log2,5,5.0,0.8376392467070648,0.8214078374455733,0.5408211550839723,0.5273121860572383,324
100,32.0,log2,2,5.0,0.8368772451830618,0.8213352685050799,0.5401801659517007,0.5271979654569517,324
100,32.0,log2,5,5.0,0.8368772451830618,0.8213352685050799,0.5401801659517007,0.5271979654569517,324
200,20.0,log2,5,1.0,0.8237417903407236,0.8016690856313498,0.5388985229575746,0.5250440796209004,324
300,,log2,2,10.0,0.8211110707935702,0.8103047895500726,0.5250983484860089,0.5160462050807516,324
300,,log2,5,10.0,0.8211110707935702,0.8103047895500726,0.5250983484860089,0.5160462050807516,324
